date,store_id,product_id,stock_quantity
2026-06-08,S001,P001,15
2026-06-08,S001,P002,72
2026-06-08,S001,P003,26
2026-06-08,S001,P004,48
2026-06-08,S001,P005,45
2026-06-08,S001,P006,43
2026-06-08,S001,P007,38
2026-06-08,S001,P008,79
2026-06-08,S001,P009,13
2026-06-08,S001,P010,31
2026-06-08,S001,P011,82
2026-06-08,S001,P012,35
2026-06-08,S001,P013,63
2026-06-08,S001,P014,19
2026-06-08,S001,P015,96
2026-06-08,S001,P016,62
2026-06-08,S001,P017,50
2026-06-08,S001,P018,118
2026-06-08,S001,P019,30
2026-06-08,S001,P020,97
2026-06-08,S002,P001,11
2026-06-08,S002,P002,47
2026-06-08,S002,P003,75
2026-06-08,S002,P004,89
2026-06-08,S002,P005,22
2026-06-08,S002,P006,76
2026-06-08,S002,P007,76
2026-06-08,S002,P008,35
2026-06-08,S002,P009,12
2026-06-08,S002,P010,48
2026-06-08,S002,P011,92
2026-06-08,S002,P012,45
2026-06-08,S002,P013,54
2026-06-08,S002,P014,16
2026-06-08,S002,P015,47
2026-06-08,S002,P016,82
2026-06-08,S002,P017,34
2026-06-08,S002,P018,94
2026-06-08,S002,P019,51
2026-06-08,S002,P020,121
2026-06-08,S003,P001,12
2026-06-08,S003,P002,52
2026-06-08,S003,P003,29
2026-06-08,S003,P004,67
2026-06-08,S003,P005,55
2026-06-08,S003,P006,67
2026-06-08,S003,P007,40
2026-06-08,S003,P008,68
2026-06-08,S003,P009,18
2026-06-08,S003,P010,41
2026-06-08,S003,P011,84
2026-06-08,S003,P012,40
2026-06-08,S003,P013,37
2026-06-08,S003,P014,10
2026-06-08,S003,P015,47
2026-06-08,S003,P016,34
2026-06-08,S003,P017,48
2026-06-08,S003,P018,95
2026-06-08,S003,P019,31
2026-06-08,S003,P020,127
2026-06-09,S001,P001,13
2026-06-09,S001,P002,65
2026-06-09,S001,P003,24
2026-06-09,S001,P004,48
2026-06-09,S001,P005,33
2026-06-09,S001,P006,37
2026-06-09,S001,P007,32
2026-06-09,S001,P008,72
2026-06-09,S001,P009,10
2026-06-09,S001,P010,27
2026-06-09,S001,P011,77
2026-06-09,S001,P012,30
2026-06-09,S001,P013,51
2026-06-09,S001,P014,15
2026-06-09,S001,P015,96
2026-06-09,S001,P016,59
2026-06-09,S001,P017,49
2026-06-09,S001,P018,112
2026-06-09,S001,P019,24
2026-06-09,S001,P020,93
2026-06-09,S002,P001,10
2026-06-09,S002,P002,45
2026-06-09,S002,P003,71
2026-06-09,S002,P004,86
2026-06-09,S002,P005,17
2026-06-09,S002,P006,71
2026-06-09,S002,P007,76
2026-06-09,S002,P008,34
2026-06-09,S002,P009,15
2026-06-09,S002,P010,43
2026-06-09,S002,P011,85
2026-06-09,S002,P012,39
2026-06-09,S002,P013,47
2026-06-09,S002,P014,16
2026-06-09,S002,P015,45
2026-06-09,S002,P016,79
2026-06-09,S002,P017,32
2026-06-09,S002,P018,90
2026-06-09,S002,P019,47
2026-06-09,S002,P020,120
2026-06-09,S003,P001,15
2026-06-09,S003,P002,46
2026-06-09,S003,P003,28
2026-06-09,S003,P004,64
2026-06-09,S003,P005,49
2026-06-09,S003,P006,67
2026-06-09,S003,P007,33
2026-06-09,S003,P008,66
2026-06-09,S003,P009,13
2026-06-09,S003,P010,40
2026-06-09,S003,P011,77
2026-06-09,S003,P012,34
2026-06-09,S003,P013,29
2026-06-09,S003,P014,16
