date,store_id,product_id,quantity,unit_price,revenue
2026-06-08,S001,P001,7,69999,489993
2026-06-08,S001,P002,4,74999,299996
2026-06-08,S001,P003,2,59999,119998
2026-06-08,S001,P005,11,114999,1264989
2026-06-08,S001,P006,4,65999,263996
2026-06-08,S001,P008,6,55999,335994
2026-06-08,S001,P009,2,64999,129998
2026-06-08,S001,P010,1,44999,44999
2026-06-08,S001,P011,2,8999,17998
2026-06-08,S001,P012,1,5999,5999
2026-06-08,S001,P013,9,14999,134991
2026-06-08,S001,P014,1,12999,12999
2026-06-08,S001,P015,9,9999,89991
2026-06-08,S001,P016,6,7999,47994
2026-06-08,S001,P018,3,2999,8997
2026-06-08,S001,P020,3,4999,14997
2026-06-08,S002,P001,7,69999,489993
2026-06-08,S002,P002,3,74999,224997
2026-06-08,S002,P003,7,59999,419993
2026-06-08,S002,P004,1,18999,18999
2026-06-08,S002,P005,10,114999,1149990
2026-06-08,S002,P006,8,65999,527992
2026-06-08,S002,P007,2,62999,125998
2026-06-08,S002,P008,5,55999,279995
2026-06-08,S002,P009,1,64999,64999
2026-06-08,S002,P010,3,44999,134997
2026-06-08,S002,P011,1,8999,8999
2026-06-08,S002,P012,4,5999,23996
2026-06-08,S002,P013,11,14999,164989
2026-06-08,S002,P014,1,12999,12999
2026-06-08,S002,P015,1,9999,9999
2026-06-08,S002,P017,5,4999,24995
2026-06-08,S002,P018,2,2999,5998
2026-06-08,S002,P019,3,3499,10497
2026-06-08,S002,P020,4,4999,19996
2026-06-08,S003,P001,6,69999,419994
2026-06-08,S003,P002,6,74999,449994
2026-06-08,S003,P003,8,59999,479992
2026-06-08,S003,P004,3,18999,56997
2026-06-08,S003,P005,6,114999,689994
2026-06-08,S003,P007,2,62999,125998
2026-06-08,S003,P008,7,55999,391993
2026-06-08,S003,P010,9,44999,404991
2026-06-08,S003,P011,7,8999,62993
2026-06-08,S003,P013,5,14999,74995
2026-06-08,S003,P014,3,12999,38997
2026-06-08,S003,P015,7,9999,69993
2026-06-08,S003,P016,9,7999,71991
2026-06-08,S003,P017,3,4999,14997
2026-06-08,S003,P018,2,2999,5998
2026-06-08,S003,P019,2,3499,6998
2026-06-08,S003,P020,2,4999,9998
2026-06-09,S001,P001,9,69999,629991
2026-06-09,S001,P002,3,74999,224997
2026-06-09,S001,P003,5,59999,299995
2026-06-09,S001,P004,6,18999,113994
2026-06-09,S001,P005,9,114999,1034991
2026-06-09,S001,P006,3,65999,197997
2026-06-09,S001,P007,1,62999,62999
2026-06-09,S001,P009,1,64999,64999
2026-06-09,S001,P011,2,8999,17998
2026-06-09,S001,P012,3,5999,17997
2026-06-09,S001,P013,7,14999,104993
2026-06-09,S001,P014,4,12999,51996
2026-06-09,S001,P015,9,9999,89991
2026-06-09,S001,P016,3,7999,23997
2026-06-09,S001,P017,4,4999,19996
2026-06-09,S001,P018,2,2999,5998
2026-06-09,S001,P019,6,3499,20994
2026-06-09,S002,P001,8,69999,559992
2026-06-09,S002,P002,6,74999,449994
2026-06-09,S002,P004,7,18999,132993
2026-06-09,S002,P005,5,114999,574995
2026-06-09,S002,P006,7,65999,461993
2026-06-09,S002,P007,4,62999,251996
2026-06-09,S002,P008,1,55999,55999
2026-06-09,S002,P009,3,64999,194997
2026-06-09,S002,P010,7,44999,314993
2026-06-09,S002,P011,4,8999,35996
2026-06-09,S002,P012,2,5999,11998
2026-06-09,S002,P013,3,14999,44997
2026-06-09,S002,P014,2,12999,25998
2026-06-09,S002,P015,4,9999,39996
2026-06-09,S002,P016,4,7999,31996
2026-06-09,S002,P017,7,4999,34993
2026-06-09,S002,P018,1,2999,2999
2026-06-09,S002,P019,9,3499,31491
2026-06-09,S003,P001,3,69999,209997
2026-06-09,S003,P003,4,59999,239996
2026-06-09,S003,P004,1,18999,18999
2026-06-09,S003,P005,9,114999,1034991
2026-06-09,S003,P006,7,65999,461993
2026-06-09,S003,P007,1,62999,62999
2026-06-09,S003,P008,7,55999,391993
2026-06-09,S003,P009,7,64999,454993
2026-06-09,S003,P010,3,44999,134997
2026-06-09,S003,P011,6,8999,53994
2026-06-09,S003,P012,5,5999,29995
2026-06-09,S003,P013,7,14999,104993
2026-06-09,S003,P014,1,12999,12999
2026-06-09,S003,P016,7,7999,55993
2026-06-09,S003,P017,4,4999,19996
2026-06-09,S003,P018,1,2999,2999
2026-06-10,S001,P001,13,69999,909987
2026-06-10,S001,P002,6,74999,449994
2026-06-10,S001,P004,4,18999,75996
2026-06-10,S001,P005,9,114999,1034991
2026-06-10,S001,P006,6,65999,395994
2026-06-10,S001,P007,3,62999,188997
2026-06-10,S001,P008,6,55999,335994
2026-06-10,S001,P009,6,64999,389994
2026-06-10,S001,P010,4,44999,179996
2026-06-10,S001,P012,3,5999,17997
2026-06-10,S001,P013,4,14999,59996
2026-06-10,S001,P014,2,12999,25998
2026-06-10,S001,P015,8,9999,79992
2026-06-10,S001,P016,3,7999,23997
2026-06-10,S001,P017,6,4999,29994
2026-06-10,S001,P018,5,2999,14995
2026-06-10,S002,P001,6,69999,419994
2026-06-10,S002,P002,6,74999,449994
2026-06-10,S002,P003,4,59999,239996
2026-06-10,S002,P004,7,18999,132993
2026-06-10,S002,P005,6,114999,689994
2026-06-10,S002,P006,5,65999,329995
2026-06-10,S002,P007,7,62999,440993
2026-06-10,S002,P009,7,64999,454993
2026-06-10,S002,P010,5,44999,224995
2026-06-10,S002,P011,2,8999,17998
2026-06-10,S002,P012,7,5999,41993
2026-06-10,S002,P013,10,14999,149990
2026-06-10,S002,P014,2,12999,25998
2026-06-10,S002,P015,2,9999,19998
2026-06-10,S002,P016,1,7999,7999
2026-06-10,S002,P017,7,4999,34993
2026-06-10,S002,P019,6,3499,20994
2026-06-10,S002,P020,1,4999,4999
2026-06-10,S003,P001,10,69999,699990
2026-06-10,S003,P002,3,74999,224997
2026-06-10,S003,P003,3,59999,179997
2026-06-10,S003,P004,2,18999,37998
2026-06-10,S003,P005,7,114999,804993
2026-06-10,S003,P006,5,65999,329995
2026-06-10,S003,P007,7,62999,440993
2026-06-10,S003,P008,1,55999,55999
2026-06-10,S003,P009,6,64999,389994
2026-06-10,S003,P010,8,44999,359992
2026-06-10,S003,P011,1,8999,8999
2026-06-10,S003,P012,7,5999,41993
2026-06-10,S003,P013,9,14999,134991
2026-06-10,S003,P014,6,12999,77994
2026-06-10,S003,P015,4,9999,39996
2026-06-10,S003,P016,6,7999,47994
2026-06-10,S003,P017,7,4999,34993
2026-06-10,S003,P019,5,3499,17495
2026-06-10,S003,P020,2,4999,9998
2026-06-11,S001,P001,7,69999,489993
2026-06-11,S001,P002,5,74999,374995
2026-06-11,S001,P003,6,59999,359994
2026-06-11,S001,P004,6,18999,113994
2026-06-11,S001,P005,6,114999,689994
2026-06-11,S001,P006,3,65999,197997
2026-06-11,S001,P007,7,62999,440993
2026-06-11,S001,P009,10,64999,649990
2026-06-11,S001,P010,4,44999,179996
2026-06-11,S001,P011,2,8999,17998
2026-06-11,S001,P012,7,5999,41993
2026-06-11,S001,P013,9,14999,134991
2026-06-11,S001,P014,4,12999,51996
2026-06-11,S001,P015,4,9999,39996
2026-06-11,S001,P016,3,7999,23997
2026-06-11,S001,P017,3,4999,14997
2026-06-11,S001,P018,7,2999,20993
2026-06-11,S001,P019,2,3499,6998
2026-06-11,S002,P001,8,69999,559992
2026-06-11,S002,P002,7,74999,524993
2026-06-11,S002,P003,5,59999,299995
2026-06-11,S002,P004,8,18999,151992
2026-06-11,S002,P005,6,114999,689994
2026-06-11,S002,P006,4,65999,263996
